transcript_id	gene_id	count
NM_130786	A1BG	166
NR_015380	A1BG-AS1	73
NM_001198818	A1CF	0
NM_001198819	A1CF	0
NM_001198820	A1CF	0
NM_001370130	A1CF	33
NM_001370131	A1CF	0
NM_014576	A1CF	0
NM_138932	A1CF	0
NM_138933	A1CF	0
NM_000014	A2M	6
NM_001347423	A2M	0
NM_001347424	A2M	5
NM_001347425	A2M	0
NR_026971	A2M-AS1	0
NR_137424	A2M-AS1	53
NR_137425	A2M-AS1	0
NM_001282424	A2ML1	0
NM_144670	A2ML1	496
NR_040112	A2MP1	0
NM_001080438	A3GALT2	1
NM_001318038	A4GALT	0
NM_017436	A4GALT	222
NR_146459	A4GALT	5
NM_016161	A4GNT	0
NR_037584	AA06	0
NM_001173466	AAAS	52
NM_015665	AAAS	1048
NM_001319839	AACS	358
NM_001319840	AACS	52
NM_023928	AACS	1438
NR_024035	AACSP1	23
NR_135095	AACSP1	302
NM_001086	AADAC	0
NM_207365	AADACL2	0
NR_110202	AADACL2-AS1	0
NR_110203	AADACL2-AS1	8
NM_001103170	AADACL3	154
NR_111984	AADACL3	0
NM_001013630	AADACL4	1
NR_026915	AADACP1	0
NM_001286682	AADAT	18
NM_001286683	AADAT	0
NM_016228	AADAT	309
NM_182662	AADAT	36
NM_001271885	AAGAB	61
NM_001271886	AAGAB	282
NM_024666	AAGAB	1746
NM_001371575	AAK1	516
NM_001371577	AAK1	558
NM_014911	AAK1	443
NM_001316957	AAMDC	0
NM_001316958	AAMDC	0
NM_001316960	AAMDC	4
NM_001316961	AAMDC	0
NM_001316962	AAMDC	65
NM_001363564	AAMDC	9
NM_024684	AAMDC	120
NR_133637	AAMDC	8
NM_001087	AAMP	3724
NM_001302545	AAMP	559
NM_001088	AANAT	3
NM_001166579	AANAT	2
NR_110548	AANAT	7
NM_001271874	AAR2	675
NM_015511	AAR2	213
NM_001025357	AARD	154
NM_001605	AARS1	9735
NM_020745	AARS2	2471
NM_001261434	AARSD1	766
NM_001286668	AASDH	104
NM_001286669	AASDH	94
NM_001286670	AASDH	16
NM_001286671	AASDH	77
NM_001286672	AASDH	250
NM_001323890	AASDH	0
NM_001323892	AASDH	19
NM_001323893	AASDH	8
NM_001323899	AASDH	0
NM_181806	AASDH	192
NM_015423	AASDHPPT	1524
NM_005763	AASS	89730
NR_026961	AATBC	67
NM_012138	AATF	1888
NM_001080395	AATK	44
NM_004920	AATK	140
NR_131907	ABALON	417
NM_000663	ABAT	0
NM_001127448	ABAT	81
NM_001386600	ABAT	48
NM_001386601	ABAT	0
NM_001386602	ABAT	0
NM_001386603	ABAT	4
NM_001386604	ABAT	0
NM_001386605	ABAT	0
NM_001386606	ABAT	0
NM_001386607	ABAT	0
NM_001386608	ABAT	0
NM_001386609	ABAT	0
NM_001386610	ABAT	0
NM_001386611	ABAT	0
NM_001386612	ABAT	0
NM_001386613	ABAT	0
NM_001386614	ABAT	0
NM_001386615	ABAT	0
NM_001386616	ABAT	0
NM_020686	ABAT	306
NM_005502	ABCA1	2585
NM_001377321	ABCA10	34
NM_080282	ABCA10	0
NR_002451	ABCA11P	584
NM_015657	ABCA12	5
NM_173076	ABCA12	0
NR_103740	ABCA12	0
NM_152701	ABCA13	60
NR_003574	ABCA17P	32
NM_001606	ABCA2	541
NM_212533	ABCA2	0
NM_001089	ABCA3	456
NM_000350	ABCA4	19
NM_018672	ABCA5	391
NM_172232	ABCA5	281
NM_080284	ABCA6	0
NM_019112	ABCA7	885
NM_001288985	ABCA8	40
NM_001288986	ABCA8	0
NM_001375771	ABCA8	0
NM_001375772	ABCA8	0
NM_007168	ABCA8	0
NM_080283	ABCA9	38
NR_126414	ABCA9-AS1	1
NM_000927	ABCB1	17
NM_001348944	ABCB1	0
NM_001348945	ABCB1	0
NM_001348946	ABCB1	82
NM_012089	ABCB10	1608
NM_003742	ABCB11	379
NM_000443	ABCB4	51
NM_018849	ABCB4	0
NM_018850	ABCB4	22
NM_001163941	ABCB5	0
NM_001163942	ABCB5	11
NM_001163993	ABCB5	0
NM_178559	ABCB5	17
NM_001349828	ABCB6	183
NM_005689	ABCB6	2305
NM_001271696	ABCB7	1319
NM_001271697	ABCB7	8
NM_001271698	ABCB7	0
NM_001271699	ABCB7	4
NM_004299	ABCB7	1149
NM_001282291	ABCB8	13
NM_001282292	ABCB8	0
NM_001282293	ABCB8	39
NM_007188	ABCB8	722
NM_001243013	ABCB9	68
NM_001243014	ABCB9	53
NM_019624	ABCB9	0
NM_019625	ABCB9	98
NM_203444	ABCB9	0
NM_004996	ABCC1	3327
NM_001198934	ABCC10	788
NM_001350518	ABCC10	75
NM_033450	ABCC10	273
NR_146762	ABCC10	7
NM_001370496	ABCC11	16
NM_001370497	ABCC11	0
NM_032583	ABCC11	0
NM_033151	ABCC11	0
NM_145186	ABCC11	0
NM_033226	ABCC12	0
NR_003087	ABCC13	2
NR_003088	ABCC13	1
NM_000392	ABCC2	40
NM_001144070	ABCC3	0
NM_003786	ABCC3	5
NM_001105515	ABCC4	18
NM_001301829	ABCC4	55
NM_001301830	ABCC4	0
NM_005845	ABCC4	1563
NM_001023587	ABCC5	389
NM_001320032	ABCC5	90
NM_005688	ABCC5	1800
NR_135125	ABCC5	240
NR_046570	ABCC5-AS1	1
NM_001079528	ABCC6	5
NM_001171	ABCC6	24
NM_001351800	ABCC6	0
NR_147784	ABCC6	0
NR_003569	ABCC6P1	0
NR_023387	ABCC6P2	6
NM_000352	ABCC8	55
NM_001287174	ABCC8	0
NM_001351295	ABCC8	0
NM_001351296	ABCC8	0
NM_001351297	ABCC8	0
NR_147094	ABCC8	18
NM_001377273	ABCC9	0
NM_001377274	ABCC9	674
NM_005691	ABCC9	0
NM_020297	ABCC9	0
NM_000033	ABCD1	135
NM_005164	ABCD2	9
NM_001122674	ABCD3	61
NM_002858	ABCD3	2210
NM_001353591	ABCD4	21
NM_001353592	ABCD4	29
NM_001353593	ABCD4	153
NM_001353594	ABCD4	0
NM_001353595	ABCD4	130
NM_001353596	ABCD4	22
NM_001353597	ABCD4	36
NM_001353598	ABCD4	223
NM_001353599	ABCD4	94
NM_001353600	ABCD4	134
NM_001353601	ABCD4	1
NM_001353602	ABCD4	16
NM_001353603	ABCD4	3
NM_001353604	ABCD4	59
NM_001353605	ABCD4	6
NM_001353606	ABCD4	6
NM_001353607	ABCD4	14
NM_001353608	ABCD4	0
NM_001353609	ABCD4	10
NM_001353610	ABCD4	106
NM_005050	ABCD4	317
NM_020324	ABCD4	57
NM_020325	ABCD4	396
NR_003256	ABCD4	81
NR_148466	ABCD4	1
NR_148467	ABCD4	0
NR_148468	ABCD4	1
NR_148469	ABCD4	1
NR_148470	ABCD4	0
NR_148471	ABCD4	3
NR_148472	ABCD4	13
NR_148473	ABCD4	2
NR_148474	ABCD4	142
NM_001040876	ABCE1	1077
NM_002940	ABCE1	8446
NM_001025091	ABCF1	4614
NM_001090	ABCF1	0
NM_007189	ABCF2	2102
NM_005692	ABCF2-H2BE1	1005
NR_160983	ABCF2-H2BE1	0
NM_001351298	ABCF3	0
NM_001351299	ABCF3	0
NM_001351300	ABCF3	16
NM_018358	ABCF3	1174
NM_004915	ABCG1	98
NM_016818	ABCG1	117
NM_207174	ABCG1	0
NM_207627	ABCG1	0
NM_207628	ABCG1	0
NM_207629	ABCG1	0
NM_001257386	ABCG2	6
NM_001348985	ABCG2	0
NM_001348986	ABCG2	370
NM_001348987	ABCG2	97
NM_001348988	ABCG2	14
NM_001348989	ABCG2	49
NM_004827	ABCG2	94
NM_001142505	ABCG4	0
NM_001348191	ABCG4	0
NM_001348192	ABCG4	9
NM_022169	ABCG4	31
NM_022436	ABCG5	2
NM_001357321	ABCG8	0
NM_022437	ABCG8	25
NM_032604	ABHD1	24
NM_001272069	ABHD10	191
NM_018394	ABHD10	1115
NR_073570	ABHD10	0
NR_073571	ABHD10	7
NM_001145364	ABHD11	70
NM_001301058	ABHD11	11
NM_148912	ABHD11	206
NM_148913	ABHD11	12
NR_135627	ABHD11	92
NR_169872	ABHD11	0
NR_026690	ABHD11-AS1	4
NM_001042472	ABHD12	2173
NM_015600	ABHD12	288
NM_001206673	ABHD12B	49
NM_181533	ABHD12B	36
NM_181814	ABHD12B	83
NM_032859	ABHD13	1601
NM_015407	ABHD14A	83
NM_001316331	ABHD14A-ACY1	0
NM_001146314	ABHD14B	73
NM_001254753	ABHD14B	8
NM_032750	ABHD14B	45
NM_198147	ABHD15	151
NM_001177515	ABHD16A	6
NM_021160	ABHD16A	1513
NR_033488	ABHD16A	0
NR_033489	ABHD16A	143
NM_080622	ABHD16B	0
NM_001130111	ABHD17A	1270
NM_031213	ABHD17A	47
NM_001025780	ABHD17B	2981
NM_016014	ABHD17B	386
NM_021214	ABHD17C	445
NM_001039717	ABHD18	20
NM_001319305	ABHD18	1
NM_001319306	ABHD18	0
NM_001319307	ABHD18	0
NM_001358451	ABHD18	738
NM_001358454	ABHD18	63
NM_001366037	ABHD18	0
NM_001366038	ABHD18	357
NM_001366039	ABHD18	4
NM_001366040	ABHD18	10
NM_001366041	ABHD18	1
NM_001366042	ABHD18	0
NM_001366043	ABHD18	46
NM_001366044	ABHD18	33
NM_001366045	ABHD18	0
NM_001366046	ABHD18	43
NM_001366047	ABHD18	28
NM_001366048	ABHD18	29
NM_025097	ABHD18	9
NM_007011	ABHD2	60
NM_152924	ABHD2	1612
NM_001308256	ABHD3	11
NM_001308257	ABHD3	125
NM_138340	ABHD3	360
NM_022060	ABHD4	352
NM_001355186	ABHD5	150
NM_001365649	ABHD5	125
NM_001365650	ABHD5	170
NM_016006	ABHD5	300
NR_158560	ABHD5	202
NM_001320126	ABHD6	177
NM_020676	ABHD6	90
NM_024527	ABHD8	341
NM_001012750	ABI1	0
NM_001012751	ABI1	0
NM_001012752	ABI1	746
NM_001178116	ABI1	0
NM_001178119	ABI1	0
NM_001178120	ABI1	0
NM_001178121	ABI1	449
NM_001178122	ABI1	12
NM_001178123	ABI1	0
NM_001178124	ABI1	42
NM_001178125	ABI1	0
NM_001348029	ABI1	0
NM_001348030	ABI1	85
NM_001348031	ABI1	7
NM_001348032	ABI1	0
NM_001348033	ABI1	0
NM_001348034	ABI1	0
NM_005470	ABI1	0
NR_145410	ABI1	0
NM_001282925	ABI2	79
NM_001282926	ABI2	317
NM_001282927	ABI2	1
NM_001282932	ABI2	58
NM_001375662	ABI2	0
NM_001375663	ABI2	0
NM_001375664	ABI2	0
NM_001375665	ABI2	0
NM_001375666	ABI2	0
NM_001375667	ABI2	74
NM_001375668	ABI2	2
NM_001375669	ABI2	0
NM_001375670	ABI2	1
NM_001375671	ABI2	0
NM_001375672	ABI2	0
NM_001375673	ABI2	0
NM_001375674	ABI2	0
NM_001375675	ABI2	155
NM_001375676	ABI2	0
NM_001375677	ABI2	31
NM_001375678	ABI2	0
NM_001375679	ABI2	0
NM_001375680	ABI2	0
NM_001375681	ABI2	0
NM_001375682	ABI2	0
NM_001375683	ABI2	0
NM_001375684	ABI2	0
NM_001375685	ABI2	31
NM_001375686	ABI2	379
NM_001375687	ABI2	188
NM_001375688	ABI2	311
NM_001375689	ABI2	2
NM_001375690	ABI2	0
NM_001375691	ABI2	2
NM_001375692	ABI2	0
NM_001375693	ABI2	0
NM_001375695	ABI2	1
NM_001375696	ABI2	0
NM_001375698	ABI2	0
NM_001375699	ABI2	0
NM_001375702	ABI2	0
NM_001375704	ABI2	0
NM_001375706	ABI2	1033
NM_001375707	ABI2	33
NM_001375708	ABI2	94
NM_001375709	ABI2	0
NM_001375710	ABI2	30
NM_001375711	ABI2	1
NM_001375712	ABI2	0
NM_001375714	ABI2	0
NM_001375717	ABI2	0
NM_001375719	ABI2	0
NM_001375721	ABI2	547
NM_001375722	ABI2	0
NM_001375723	ABI2	7
NM_001375724	ABI2	0
NM_001375725	ABI2	0
NM_001375726	ABI2	0
NM_001375727	ABI2	0
NM_001375728	ABI2	35
NM_001375729	ABI2	0
NM_001375730	ABI2	1
NM_001375731	ABI2	0
NM_001375732	ABI2	0
NM_001375733	ABI2	0
NM_001375734	ABI2	246
NM_001375735	ABI2	0
NM_001375736	ABI2	0
NM_001375737	ABI2	0
NM_001375738	ABI2	100
NM_001375739	ABI2	0
NM_001375740	ABI2	0
NM_001375741	ABI2	16
NM_001375742	ABI2	0
NM_001375743	ABI2	0
NM_001375744	ABI2	85
NM_001375745	ABI2	30
NM_001375746	ABI2	1
NM_001375747	ABI2	0
NM_001375748	ABI2	46
NM_001375749	ABI2	0
NM_001375750	ABI2	0
NM_001375751	ABI2	0
NM_001375752	ABI2	1
NM_001375753	ABI2	0
NM_001375754	ABI2	0
NM_001375755	ABI2	1
NM_005759	ABI2	1350
NR_164704	ABI2	0
NR_164705	ABI2	477
NR_164706	ABI2	24
NR_164707	ABI2	121
NR_164708	ABI2	23
NR_164709	ABI2	0
NR_164710	ABI2	1
NR_164711	ABI2	0
NR_164712	ABI2	0
NR_164713	ABI2	0
NR_164714	ABI2	0
NR_164715	ABI2	0
NR_164716	ABI2	36
NR_164717	ABI2	80
NR_164718	ABI2	0
NM_001135186	ABI3	0
NM_016428	ABI3	44
NM_001349329	ABI3BP	0
NM_001349330	ABI3BP	0
NM_001349331	ABI3BP	0
NM_001349332	ABI3BP	0
NM_001365642	ABI3BP	0
NM_001365643	ABI3BP	0
NM_001375547	ABI3BP	0
NM_001375549	ABI3BP	0
NM_001375550	ABI3BP	0
NM_001377332	ABI3BP	63
NM_015429	ABI3BP	14
NM_017832	ABITRAM	182
NM_005157	ABL1	1307
NM_007313	ABL1	1355
NM_001136000	ABL2	312
NM_001136001	ABL2	3
NM_001168236	ABL2	543
NM_001168237	ABL2	0
NM_001168238	ABL2	0
NM_001168239	ABL2	277
NM_005158	ABL2	153
NM_007314	ABL2	294
NM_001003407	ABLIM1	89
NM_001322882	ABLIM1	21
NM_001322883	ABLIM1	0
NM_001322884	ABLIM1	16
NM_001322885	ABLIM1	191
NM_001322886	ABLIM1	0
NM_001322887	ABLIM1	0
NM_001322888	ABLIM1	48
NM_001322889	ABLIM1	0
NM_001322890	ABLIM1	108
NM_001322891	ABLIM1	9
NM_001322892	ABLIM1	1539
NM_001322893	ABLIM1	128
NM_001322894	ABLIM1	0
NM_001322895	ABLIM1	0
NM_001322896	ABLIM1	364
NM_001322897	ABLIM1	0
NM_001322898	ABLIM1	0
NM_001322899	ABLIM1	0
NM_001322900	ABLIM1	0
NM_001352440	ABLIM1	228
NM_001352441	ABLIM1	74
NM_001352442	ABLIM1	0
NM_001352443	ABLIM1	42
NM_002313	ABLIM1	0
NM_006720	ABLIM1	0
NM_001130083	ABLIM2	0
NM_001130084	ABLIM2	0
NM_001130085	ABLIM2	0
NM_001130086	ABLIM2	16
NM_001130087	ABLIM2	0
NM_001130088	ABLIM2	72
NM_001286688	ABLIM2	0
NM_032432	ABLIM2	0
NM_001301015	ABLIM3	0
NM_001301018	ABLIM3	0
NM_001301028	ABLIM3	8
NM_001345858	ABLIM3	0
NM_001345859	ABLIM3	0
NM_001345860	ABLIM3	13
NM_001345861	ABLIM3	0
NM_001370417	ABLIM3	0
NM_001370418	ABLIM3	0
NM_014945	ABLIM3	0
NM_020469	ABO	1
NM_001092	ABR	237
NM_001159746	ABR	0
NM_001256847	ABR	33
NM_001282149	ABR	58
NM_001322840	ABR	41
NM_001322841	ABR	0
NM_001322842	ABR	0
NM_021962	ABR	542
NM_139166	ABRA	6
NM_021243	ABRACL	3147
NM_001345962	ABRAXAS1	35
NM_139076	ABRAXAS1	1251
NM_032182	ABRAXAS2	840
NM_013375	ABT1	1216
NM_032548	ABTB1	0
NM_172027	ABTB1	85
NR_033429	ABTB1	0
NM_145804	ABTB2	508
NM_001130410	ACAA1	21
NM_001607	ACAA1	488
NR_024024	ACAA1	290
NM_006111	ACAA2	3800
NM_198834	ACACA	988
NM_198836	ACACA	6754
NM_198837	ACACA	0
NM_198838	ACACA	674
NM_198839	ACACA	59
NM_001093	ACACB	464
NM_001136538	ACAD10	20
NM_025247	ACAD10	616
NM_032169	ACAD11	377
NR_132426	ACAD11	368
NR_132427	ACAD11	0
NR_132428	ACAD11	0
NM_014384	ACAD8	1814
NM_014049	ACAD9	600
NR_033426	ACAD9	322
NM_001608	ACADL	14
NM_000016	ACADM	1485
NM_001127328	ACADM	40
NM_001286042	ACADM	131
NM_001286043	ACADM	0
NM_001286044	ACADM	0
NM_000017	ACADS	155
NM_001302554	ACADS	0
NM_001330174	ACADSB	50
NM_001609	ACADSB	1132
NM_000018	ACADVL	2958
NM_001033859	ACADVL	113
NM_001270447	ACADVL	0
NM_001270448	ACADVL	311
NM_001135	ACAN	84
NM_001369268	ACAN	117
NM_013227	ACAN	11
NM_014716	ACAP1	889
NM_012287	ACAP2	3723
NM_030649	ACAP3	924
NM_000019	ACAT1	912
NM_001386677	ACAT1	10
NM_001386678	ACAT1	0
NM_001386679	ACAT1	0
NM_001386681	ACAT1	0
